,spotify_id,name,representative_text
0,74terC9ol9zMo8rfzhSOiG,Jakob Hellman,
1,71BhXa24Zf5zcikUb00l2N,Juice,
2,7MFvm8pwjLdmVBZddGNiQH,VovaZiLvova,
3,5OkJ74jazRprW3kCTjfgOL,Yomi,
4,0AjnB78SikKKhqYoqFIOXn,Attractions,
5,2tGETO39QXKpmeQMSzr5I6,Pálmi Gunnarsson,
6,6cd9X2t4HN8zjoxOblaDTz,Suur Papa,
7,4Lm0pUvmisUHMdoky5ch2I,Apocalyptica,
8,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,
9,0SIXZXJCAhNU8sxK0qm7hn,Stefanie Sun,
10,7jXoGtR69J2iYCefc58MZX,Twins,
11,2sjnyyL9NXijL3Fr2eLikf,Aspova,
12,0qZ24TkLCHoE3ajCzGItJ1,Sharmoofers,
13,4e0nWw2r4BoQSKPQ2zpU13,Ray Dalton,
14,2AZOALDIBORfbzKTuliwdJ,Cristian Castro,
15,7jZMxhsB8djyIbYmoiJSTs,Kiana Ledé,
16,6HHje5tfmzWK8PsSaoJ9Xp,SAMSONS,
17,3JCyEziWwDZksR1WY8EckM,Darío Gómez,
18,6Xg22wJOAcnvPUfk5WvODH,JEON SOYEON,
19,70x9rYb58QCNNeNxuO3StS,Bruno & Barretto,
20,1tKrZaph4cLsnEdqC5BNEQ,Clayton & Romário,
21,6pZzHAdfBLIEkQVRUhB8ps,Cakra Khan,
22,15tTVhFpH8EFXeDgO9xkRO,Trey Lewis,
23,5YxFBIX6yyncauK1DmRPY7,Antti Ketonen,
24,2tY2GFdhH0Wa2VBvsxew5X,Alex Ubago,
25,4u5rOZ3ecm8hFzCskgOEw3,Innertier,
26,0OYspJRShx3Yx7QIykOJgq,OG Ulla-Maija,
27,5uO0iSpH2o5KCJfJI3oF2p,Pekka Ruuska,
28,6LBCQo20ri3tsvbsWWLmr6,Powderfinger,
29,29OFoMngbkNzwla2kczgdu,Leila AD,
