spotify_id,name,followers,popularity,genres,chart_hits
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,102156853.0,90,"['pop', 'uk pop']","['us (52)', 'gb (83)', 'ar (36)', 'au (65)', 'at (59)', 'be (58)', 'bo (29)', 'br (43)', 'bg (60)', 'ca (63)', 'cl (33)', 'co (31)', 'cr (40)', 'cy (44)', 'cz (65)', 'dk (71)', 'do (30)', 'ec (28)', 'eg (14)', 'sv (32)', 'ee (82)', 'fi (61)', 'fr (39)', 'de (60)', 'gr (47)', 'gt (28)', 'hn (30)', 'hk (57)', 'hu (58)', 'is (62)', 'in (9)', 'id (29)', 'ie (90)', 'il (20)', 'it (42)', 'jp (24)', 'lv (63)', 'lt (65)', 'lu (63)', 'my (50)', 'mt (51)', 'mx (28)', 'ma (12)', 'nl (67)', 'nz (69)', 'ni (27)', 'no (64)', 'pa (36)', 'py (28)', 'pe (33)', 'ph (50)', 'pl (54)', 'pt (52)', 'ro (28)', 'ru (4)', 'sa (13)', 'sg (65)', 'sk (63)', 'za (33)', 'kr (17)', 'es (37)', 'se (75)', 'ch (68)', 'tw (59)', 'th (23)', 'tr (25)', 'ua (7)', 'ae (34)', 'uy (38)', 'vn (20)', 'ad (3)']"
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,83045090.0,88,"['dance pop', 'pop']","['us (81)', 'gb (69)', 'ar (36)', 'au (70)', 'at (43)', 'be (61)', 'bo (25)', 'br (57)', 'bg (77)', 'ca (80)', 'cl (29)', 'co (34)', 'cr (53)', 'cy (57)', 'cz (41)', 'dk (44)', 'do (51)', 'ec (25)', 'eg (11)', 'sv (40)', 'ee (62)', 'fi (47)', 'fr (36)', 'de (41)', 'gr (80)', 'gt (29)', 'hn (37)', 'hk (72)', 'hu (62)', 'is (61)', 'in (13)', 'id (38)', 'ie (70)', 'il (43)', 'it (44)', 'jp (40)', 'lv (52)', 'lt (69)', 'lu (51)', 'my (73)', 'mt (52)', 'mx (35)', 'ma (12)', 'nl (70)', 'nz (67)', 'ni (39)', 'no (44)', 'pa (43)', 'py (24)', 'pe (32)', 'ph (81)', 'pl (75)', 'pt (73)', 'ro (53)', 'ru (7)', 'sa (23)', 'sg (75)', 'sk (63)', 'za (17)', 'kr (11)', 'es (36)', 'se (46)', 'ch (50)', 'tw (55)', 'th (39)', 'tr (26)', 'ua (10)', 'ae (27)', 'uy (37)', 'vn (50)', 'ad (3)']"
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,68407227.0,88,"['art pop', 'electropop', 'pop']","['us (46)', 'gb (43)', 'ar (23)', 'au (45)', 'at (42)', 'be (43)', 'bo (18)', 'br (23)', 'bg (45)', 'ca (44)', 'cl (17)', 'co (19)', 'cr (26)', 'cy (44)', 'cz (35)', 'dk (42)', 'do (25)', 'ec (18)', 'eg (26)', 'sv (16)', 'ee (46)', 'fi (43)', 'fr (22)', 'de (34)', 'gr (42)', 'gt (16)', 'hn (22)', 'hk (34)', 'hu (40)', 'is (45)', 'in (19)', 'id (22)', 'ie (44)', 'il (41)', 'it (22)', 'jp (17)', 'lv (45)', 'lt (46)', 'lu (41)', 'my (37)', 'mt (22)', 'mx (17)', 'ma (16)', 'nl (41)', 'nz (44)', 'ni (14)', 'no (44)', 'pa (25)', 'py (12)', 'pe (13)', 'ph (20)', 'pl (34)', 'pt (42)', 'ro (45)', 'ru (12)', 'sa (21)', 'sg (37)', 'sk (42)', 'za (34)', 'kr (14)', 'es (24)', 'se (39)', 'ch (42)', 'tw (27)', 'th (19)', 'tr (26)', 'ua (13)', 'ae (28)', 'uy (20)', 'vn (30)', 'ad (1)']"
3TVXtAsR1Inumwj472S9r4,Drake,66852536.0,95,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']","['us (190)', 'gb (163)', 'ar (18)', 'au (148)', 'at (97)', 'be (99)', 'bo (22)', 'br (31)', 'bg (125)', 'ca (179)', 'cl (20)', 'co (24)', 'cr (52)', 'cy (105)', 'cz (55)', 'dk (132)', 'do (116)', 'ec (17)', 'eg (37)', 'sv (26)', 'ee (115)', 'fi (59)', 'fr (106)', 'de (111)', 'gr (122)', 'gt (25)', 'hn (60)', 'hk (59)', 'hu (76)', 'is (154)', 'in (11)', 'id (26)', 'ie (140)', 'il (60)', 'it (63)', 'jp (15)', 'lv (111)', 'lt (113)', 'lu (117)', 'my (58)', 'mt (80)', 'mx (22)', 'ma (53)', 'nl (137)', 'nz (145)', 'ni (27)', 'no (94)', 'pa (82)', 'py (19)', 'pe (17)', 'ph (40)', 'pl (57)', 'pt (130)', 'ro (72)', 'ru (13)', 'sa (39)', 'sg (65)', 'sk (93)', 'za (73)', 'kr (30)', 'es (31)', 'se (93)', 'ch (138)', 'tw (38)', 'th (19)', 'tr (32)', 'ua (13)', 'ae (59)', 'uy (19)', 'vn (17)', 'ad (1)']"
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,65590075.0,90,"['canadian pop', 'pop']","['us (58)', 'gb (51)', 'ar (29)', 'au (54)', 'at (44)', 'be (46)', 'bo (23)', 'br (32)', 'bg (40)', 'ca (62)', 'cl (25)', 'co (25)', 'cr (27)', 'cy (31)', 'cz (39)', 'dk (66)', 'do (32)', 'ec (26)', 'eg (11)', 'sv (27)', 'ee (42)', 'fi (46)', 'fr (27)', 'de (42)', 'gr (34)', 'gt (28)', 'hn (29)', 'hk (50)', 'hu (41)', 'is (64)', 'in (17)', 'id (24)', 'ie (45)', 'il (14)', 'it (33)', 'jp (17)', 'lv (33)', 'lt (38)', 'lu (45)', 'my (55)', 'mt (28)', 'mx (26)', 'ma (17)', 'nl (56)', 'nz (53)', 'ni (23)', 'no (57)', 'pa (39)', 'py (27)', 'pe (21)', 'ph (39)', 'pl (34)', 'pt (44)', 'ro (14)', 'ru (3)', 'sa (12)', 'sg (51)', 'sk (53)', 'za (29)', 'kr (27)', 'es (26)', 'se (48)', 'ch (53)', 'tw (43)', 'th (19)', 'tr (20)', 'ua (8)', 'ae (27)', 'uy (30)', 'vn (21)', 'ad (4)']"
7dGJo4pcD2V6oG8kP0tJRR,Eminem,59184634.0,90,"['detroit hip hop', 'hip hop', 'rap']","['us (78)', 'gb (72)', 'ar (7)', 'au (64)', 'at (61)', 'be (48)', 'bo (8)', 'br (10)', 'bg (73)', 'ca (73)', 'cl (5)', 'co (7)', 'cr (15)', 'cy (62)', 'cz (54)', 'dk (54)', 'do (12)', 'ec (8)', 'eg (32)', 'sv (8)', 'ee (63)', 'fi (70)', 'fr (48)', 'de (68)', 'gr (62)', 'gt (8)', 'hn (9)', 'hk (24)', 'hu (58)', 'is (47)', 'in (9)', 'id (7)', 'ie (63)', 'il (38)', 'it (39)', 'jp (5)', 'lv (64)', 'lt (58)', 'lu (56)', 'my (21)', 'mt (53)', 'mx (8)', 'ma (34)', 'nl (54)', 'nz (66)', 'ni (6)', 'no (68)', 'pa (8)', 'py (6)', 'pe (2)', 'ph (10)', 'pl (28)', 'pt (54)', 'ro (50)', 'ru (2)', 'sa (39)', 'sg (24)', 'sk (60)', 'za (25)', 'es (7)', 'se (62)', 'ch (71)', 'tw (15)', 'th (7)', 'tr (31)', 'ua (4)', 'ae (29)', 'uy (5)', 'vn (13)']"
06HL4z0CvFAxyc27GXpf02,Taylor Swift,58554324.0,94,['pop'],"['us (136)', 'gb (115)', 'ar (24)', 'au (110)', 'at (36)', 'be (54)', 'bo (12)', 'br (40)', 'bg (49)', 'ca (121)', 'cl (11)', 'co (16)', 'cr (28)', 'cy (43)', 'cz (28)', 'dk (39)', 'do (14)', 'ec (11)', 'eg (26)', 'sv (32)', 'ee (61)', 'fi (31)', 'fr (9)', 'de (29)', 'gr (32)', 'gt (15)', 'hn (27)', 'hk (93)', 'hu (41)', 'is (25)', 'in (44)', 'id (40)', 'ie (123)', 'il (23)', 'it (10)', 'jp (27)', 'lv (38)', 'lt (33)', 'lu (37)', 'my (114)', 'mt (24)', 'mx (20)', 'ma (9)', 'nl (33)', 'nz (109)', 'ni (28)', 'no (44)', 'pa (23)', 'py (15)', 'pe (14)', 'ph (136)', 'pl (20)', 'pt (54)', 'ro (29)', 'ru (3)', 'sa (51)', 'sg (127)', 'sk (26)', 'za (60)', 'kr (16)', 'es (17)', 'se (31)', 'ch (27)', 'tw (73)', 'th (74)', 'tr (15)', 'ua (3)', 'ae (98)', 'uy (44)', 'vn (84)']"
4YRxDV8wJFPHPTeXepOstw,Arijit Singh,58523986.0,86,"['desi pop', 'filmi', 'modern bollywood']","['in (45)', 'my (5)', 'sg (2)', 'ae (3)']"
4q3ewBCX7sLwd24euuV69X,Bad Bunny,55669387.0,100,"['reggaeton', 'trap latino']","['us (76)', 'gb (1)', 'ar (91)', 'au (2)', 'at (5)', 'be (9)', 'bo (97)', 'br (1)', 'bg (5)', 'ca (15)', 'cl (106)', 'co (98)', 'cr (96)', 'cy (11)', 'cz (2)', 'dk (4)', 'do (110)', 'ec (97)', 'eg (3)', 'sv (102)', 'ee (6)', 'fi (5)', 'fr (6)', 'de (7)', 'gr (6)', 'gt (104)', 'hn (106)', 'hk (6)', 'hu (6)', 'is (4)', 'in (4)', 'id (1)', 'ie (4)', 'il (6)', 'it (15)', 'jp (2)', 'lv (6)', 'lt (11)', 'lu (19)', 'my (4)', 'mt (21)', 'mx (92)', 'ma (5)', 'nl (5)', 'nz (1)', 'ni (105)', 'no (5)', 'pa (107)', 'py (105)', 'pe (101)', 'ph (2)', 'pl (1)', 'pt (19)', 'ro (5)', 'ru (1)', 'sa (4)', 'sg (4)', 'sk (5)', 'za (2)', 'kr (4)', 'es (101)', 'se (5)', 'ch (27)', 'tw (8)', 'th (2)', 'tr (1)', 'ua (2)', 'ae (11)', 'uy (95)', 'vn (1)', 'ad (16)']"
3Nrfpe0tUJi4K4DXYWgMUX,BTS,54532917.0,91,"['k-pop', 'k-pop boy group']","['us (55)', 'gb (32)', 'ar (30)', 'au (32)', 'at (30)', 'be (17)', 'bo (54)', 'br (31)', 'bg (77)', 'ca (49)', 'cl (32)', 'co (35)', 'cr (34)', 'cy (34)', 'cz (22)', 'dk (13)', 'do (30)', 'ec (34)', 'eg (44)', 'sv (60)', 'ee (69)', 'fi (38)', 'fr (10)', 'de (16)', 'gr (65)', 'gt (34)', 'hn (48)', 'hk (84)', 'hu (34)', 'is (9)', 'in (55)', 'id (99)', 'ie (13)', 'il (10)', 'it (8)', 'jp (100)', 'lv (52)', 'lt (74)', 'lu (27)', 'my (111)', 'mt (21)', 'mx (23)', 'ma (53)', 'nl (10)', 'nz (28)', 'ni (64)', 'no (14)', 'pa (40)', 'py (37)', 'pe (59)', 'ph (90)', 'pl (50)', 'pt (43)', 'ro (68)', 'ru (31)', 'sa (54)', 'sg (103)', 'sk (40)', 'za (23)', 'kr (96)', 'es (8)', 'se (13)', 'ch (12)', 'tw (91)', 'th (102)', 'tr (39)', 'ua (26)', 'ae (47)', 'uy (32)', 'vn (148)', 'ad (1)']"
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,50002769.0,87,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']","['us (19)', 'gb (17)', 'ar (6)', 'au (12)', 'at (10)', 'be (10)', 'bo (6)', 'br (24)', 'bg (19)', 'ca (22)', 'cl (8)', 'co (7)', 'cr (7)', 'cy (7)', 'cz (9)', 'dk (16)', 'do (8)', 'ec (6)', 'sv (6)', 'ee (12)', 'fi (9)', 'fr (12)', 'de (10)', 'gr (15)', 'gt (7)', 'hn (6)', 'hk (8)', 'hu (14)', 'is (17)', 'id (4)', 'ie (13)', 'it (10)', 'lv (12)', 'lt (13)', 'lu (5)', 'my (10)', 'mt (9)', 'mx (7)', 'nl (12)', 'nz (14)', 'ni (6)', 'no (17)', 'pa (7)', 'py (5)', 'pe (6)', 'ph (11)', 'pl (19)', 'pt (12)', 'ro (1)', 'sg (9)', 'sk (18)', 'za (1)', 'es (7)', 'se (21)', 'ch (15)', 'tw (10)', 'tr (18)', 'uy (6)', 'vn (1)', 'ad (1)']"
